id,label,workpackagedaycount,areclocksinworkpackagefrozen,triplestoreid,subjectto,proceduralworkpackagehascalculationstyle,proceduralworkpackagefocus
4479,Work package for Railway (Licensing of Railway Undertakings) (Amendment) Regulations 2021,,false,tqLsoxii,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4479
4480,Work package for Motor Fuel (Composition and Content) and the Biofuel (Labelling) (Amendment) (No. 2) Regulations 2021,,false,ZJCnEcZe,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4480
4481,Work package for Merchant Shipping (Prevention of Air Pollution from Ships) (Amendment) Regulations 2021 ,,false,SA6Hmriz,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4481
4482,Work package for Renewable Transport Fuel Obligations (Amendment) Order 2021,,false,IJM9cnNV,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4482
4483,Work package for Train Driving Licences and Certificates (Amendment) Regulations 2022,,false,p1CVvbPZ,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4483
4485,Work package for Motor Vehicles (Driving Licences) (Amendment) Regulations 2022,,false,08ohnHBp,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4485
4530,Work package for Food and Feed Safety (Miscellaneous Amendments and Transitional Provisions) Regulations 2021,,false,4SqRki0s,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4530
4603,Work package for Air Navigation (Amendment) Order 2022,,false,wgvgRcnK,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4603
4683,Work package for Financial Services Act 2021 (Prudential Regulation of Credit Institutions and Investment Firms) (Consequential Amendments and Miscellaneous Provisions) Regulations 2022,,false,wkQfLNnh,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4683
4768,Work package for Merchant Shipping (Safety Standards for Passenger Ships on Domestic Voyages) (Miscellaneous Amendments) Regulations 2022,,false,O6MSLi2d,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4768
4778,Work package for Merchant Shipping (Additional Safety Measures for Bulk Carriers) Regulations 2022,,false,ATd4AncW,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4778
4830,Work package for Merchant Shipping (High Speed Craft) Regulations 2022,,false,0CeQR3go,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4830
4873,"Work package for Merchant Shipping (Standards of Training, Certification and Watchkeeping) Regulations 2022",,false,W7xh0yD6,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4873
4874,Work package for Motor Fuel (Composition and Content) (Amendment) (Northern Ireland) Regulations 2022,,false,CBDmrC0Y,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:4874
5069,Work package for Renewable Transport Fuel Obligations (Amendment) Order 2022,,false,KsCq61Wj,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5069
5281,Work package for Merchant Shipping (Fire Protection) Regulations 2023,,false,YpOHIVnD,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5281
5310,Work package for Merchant Shipping (Inspections of Ro-Ro Passenger Ships and High-Speed Passenger Craft) Regulations 2023,,false,FY2gEHi7,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5310
5422,Work package for Road Vehicles (Authorised Weight) (Amendment) Regulations 2023,,false,xPdaSF7h,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5422
5496,Work package for Financial Services and Markets Act 2000 (Commodity Derivatives and Emission Allowances) Order 2023,,false,gkzjAM3A,10,,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5496
5749,Work package for Public Health England (Dissolution) (Consequential Amendments) Regulations 2023,,false,hJdAi6id,10,1,urn:procedure-editor:PublishedDraftUnderTheEuropeanUnionWithdrawalAct2018Work:5749
